Text,Language
"Nature er et britisk multidisciplinært videnskabeligt tidsskrift, der blev udgivet første gang den 4. november 1869.",Danish
"[1] Det er rangeret som verdens mest citerede videnskabelige tidsskrift af Science Edition i 2010-udgaven Journal Citation Reports og har en I-faktor på 40.137, hvilket gør det til verdens mest citerede akademiske magasin.",Danish
"[2][3] Det er et af de få tilbageværende akademiske tidsskrifter, der udgiver original forskning spredt over en bred række videnskabelige emner.",Danish
"[3][4] Tidsskriftets primære målgruppe er forskere, men resuméer og medfølgende artikler fremstilles for at gøre de fleste af de vigtigste artikler forståelige for videnskabsfolk inden for andre felter og den uddannede offentlighed.",Danish
"I starten af hvert tidsskrift er ledere, nyheder og feature-artikler som har generel interesse for videnskabsfolk, inklusive nye opdagelser, videnskabsetik og videnskabelige gennembrud.",Danish
Der er også sektioner med bøger og kunst.,Danish
"Resten af tidsskriftet består primært af videnskabelige artikler, der ofte er tætskrevne og meget tekniske.",Danish
"Der er strikser regler for artiklerne i magasiner er mange af dem opsummeringer af det videnskabelige arbejder, der ligger bag, og er derfor uddybende materiale på tidsskriftets hjemmeside.",Danish
"Nature dækker en lang række forskningsgrene, hvor vigtige nye opdagelser og original forskning bliver udgivet enten som artikler eller som ""letters"" i tidsskriftet.",Danish
"Artiklerne, som er blevet udgivet i Nature er ofte blevet international anerkendt for at opretholde meget høje forskningsstandarder.",Danish
"Færre end 8 % af de artikler, som sendes til tidsskriftet, ender med at blive accepteret og udgivet.",Danish
[5] I 2007 modtog Nature Prince of Asturias Award for Communications and Humanity sammen med Science.,Danish
"[6][7] Wikipedia er en internetencyklopædi, der forekommer i flere sprogversioner, udelukkende med frit indhold og ingen reklamer (selvom donationer accepteres), baseret på et åbent samarbejde igennem en model, hvor brugere kan redigere ved hjælp af internet-baserede applikationer som webbrowsere, kaldet wiki.",Danish
"Det er det største og mest populære generelle referenceværk på internettet,[1][2][3] og i april 2019 var det blandt de mest populære hjemmesider ifølge Alexa rangeringsystem.",Danish
"[4] Wikipedia ejes og drives af Wikimedia Foundation, en almennyttig organisation der drives ved hjælp af donationer for at kunne være uafhængig.",Danish
[5][6][7][8] Wikipedia blev lanceret den 15. januar 2001 af Jimmy Wales og Larry Sanger.,Danish
"[9] Sanger fandt på navnet,[10]
[11] som en portmanteau af wiki (det hawaiianske ord for ""hurtig""[12]) og ""encyclopedia"".",Danish
"Oprindeligt var det udelukkende en engelsksproget encyklopædi, men andre sprogversioner blev hurtigt udviklet.",Danish
Pr.,Danish
"torsdag den 28. januar 2021 har den engelsksprogede Wikipedia 6.237.605 artikler, 141.020 aktive bidragydere og 1.115 administratorer.",Danish
[13] Det er dermed den sprogversion af Wikipedia med flest artikler.,Danish
Tilsammen har de over 300 sprogversioner af hjemmesiden mere end 40 millioner artikler på 301 forskellige sprog[14] og i februar 2014 nåede siden 18 milliarder sidevisninger og næsten 500 millioner unikke besøgende om måneden.,Danish
"[15] I 2005 udgav Nature en artikel, hvor 42 artikler om forskellige videnskabelige emner blev sammenlignet fra Encyclopædia Britannica og Wikipedia, hvor man fandt, at Wikipedias niveau af præcision og rigtighed nærmede sig Britannicas,[16] selvom kritikere har foreslået, at hvis man havde udvalgt en tilfældig gruppe blandt alle artikler eller havde fokuseret på samfundsvidenskab eller omstridte sociale problemer.",Danish
"[17][18] Det efterfølgende år skrev Time magazine at den åbne dørs politik tillod at hvem som helst kunne redigere, og at det gjorde det til den bedste encyklopædi i verden, og det hyldede Jimmy Wales' vision.",Danish
"[19] Wikipedia er blevet kritiseret for at udvise systematisk bias, for at fremstille en blanding af ""sandheder, halve sandheder og nogle løgne"",[20] og for at være genstand for manipulation og spin i forbindelse med kontroversielle emner.",Danish
[21] I 2017 annoncerede Facebook at siden ville hjælpe læsere med at detektere fake news ved at foreslå links til relaterede Wikipedia-artikler.,Danish
YouTube annoncerede lignende planer i 2018.,Danish
[22] Den danske udgave blev påbegyndt den 1. februar 2002.,Danish
Den danske Wikipedia har 264.512 artikler pr.,Danish
28. januar 2021.,Danish
"De tre bærende principper på Wikipedia, der tilsammen definerer dens niche på World Wide Web er: Wikipedia støttes af Richard M. Stallman og Free Software Foundation.",Danish
"Stallman påpegede brugbarheden af en ""fri universel encyklopædi"" før Wikipedia blev startet.",Danish
"Oprindeligt startede Wikipedia med at køre på UseModWiki, skrevet af Clifford Adams.",Danish
Den 26. januar 2002 skiftede den engelske Wikipedia program fra UseModWiki til PHP og MySQL.,Danish
Den 25. september 2002 skiftede den danske Wikipedia over til samme program.,Danish
"Projektet kører på mange dedikerede servere, der er placeret i Florida, USA og tre andre steder i verden.",Danish
Disse servere er ansvarlige for Wikipedia på alle sprog og for postlisterne.,Danish
Wikipedia modtager mellem 2000-7000 sidevisninger per sekund.,Danish
Over 200 servere er blevet sat op for i fællesskab at kunne håndtere den enorme mængde trafik.,Danish
Mobile enheder kan tilgå de mobile udgaver af Wikipedia.,Danish
Den første mobile udgave formateret til WAP (wapedia.mobi) har eksisteret siden 2004 – og siden 2009 til andre mobile enheder inkl.,Danish
"iPod, Android-enheder, og Kindle (da.m.wikipedia.org og en.m.wikipedia.org).",Danish
Alle der er koblet til Internettet kan læse og skrive i Wikipedias artikler.,Danish
Bidrag angives med IP-adressen.,Danish
"Personer der har lyst til at bidrage med mere, kan oprette sig som brugere.",Danish
Dette er gratis og har en del fordele – primært overskuelighed.,Danish
Enkelte kontroversielle artikler kan være semibeskyttet; dvs.,Danish
låst for bidrag fra IP-adresser.,Danish
Alle kan bekæmpe vandalisme og brugere der er blevet erfarne indenfor wikiprocedurerne kan vælges til administratorer.,Danish
"Administratorer kan slette artikler, blokere brugere og beskytte artikler.",Danish
Der er p.t.,Danish
24 administratorer på den danske Wikipedia Brugere oprettes som administratorer af bureaukrater (Bureaucrats) der også kan ændre brugernavne.,Danish
"Administratorer kan få taget deres rettigheder, hvis de udøver magtmisbrug.",Danish
Det gøres af forvaltere (Stewards).,Danish
Forvaltere vælges en gang om året ved demokratiske afstemninger.,Danish
Wikipedias styrke er blandt andet at udnytte diverse brugeres evner.,Danish
